"","IIdx","Rank","Dist","NIdx","NID","MSLD","ND","TVD","MSFD","Donated"
"102",21,1,0.1609316471502,50,502,-1.109636079,-0.751539609,-0.751539609,-0.013839696,1
"103",21,2,0.163662905873675,71,630,-1.109636079,-0.589133831,-0.589133831,-0.013839696,1
"104",21,3,0.163662905873675,72,5,-1.109636079,-0.589133831,-0.589133831,-0.013839696,0
"105",21,4,0.163662905873675,417,355,-1.109636079,-0.589133831,-0.589133831,-0.013839696,1
"106",21,5,0.184434673912914,411,259,-1.109636079,-0.589133831,-0.589133831,-0.101636954,0
"107",22,1,0.13518260185637,437,147,-0.572448496,-0.589133831,-0.589133831,0.266799003,1
"108",22,2,0.13518260185637,435,729,-0.572448496,-0.589133831,-0.589133831,0.266799003,0
"109",22,3,0.191279382582778,429,86,-0.572448496,-0.589133831,-0.589133831,0.070270318,0
"110",22,4,0.19830571612895,151,725,-0.572448496,-0.393788889,-0.393788889,0.228911412,0
"111",22,5,0.204237726998538,442,383,-0.572448496,-0.589133831,-0.589133831,0.376708903,1
"112",23,1,0.174770775089558,57,146,-0.572448496,-0.751539609,-0.751539609,-0.147060021,0
"113",23,2,0.187028637432156,428,661,-0.371410514,-0.589133831,-0.589133831,-0.013839696,0
"114",23,3,0.228306092110854,33,92,-0.572448496,-0.751539609,-0.751539609,-0.290258347,1
"115",23,4,0.277552229996104,429,86,-0.572448496,-0.589133831,-0.589133831,0.070270318,0
"116",23,5,0.339136472432305,49,612,-0.572448496,-0.890212447,-0.890212447,-0.101636954,1
"117",24,1,0.150554890989817,468,637,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"118",24,2,0.150554890989817,179,217,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"119",24,3,0.150554890989817,175,252,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"120",24,4,0.150554890989817,469,417,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"121",24,5,0.150554890989817,168,239,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"122",25,1,0.128039555804365,201,115,-1.109636079,0.172880205,0.172880205,0.266799003,0
"123",25,2,0.487317513696533,148,618,-1.109636079,-0.149807866,-0.149807866,0.266799003,0
"124",25,3,0.528419723799755,460,503,-1.109636079,0.172880205,0.172880205,-0.193586817,0
"125",25,4,0.534668442453146,186,195,-1.109636079,-0.149807866,-0.149807866,0.548870389,0
"126",25,5,0.623111996227605,145,631,-1.109636079,0.172880205,0.172880205,-0.290258347,0
"127",26,1,0.190729318961518,149,586,-0.572448496,-1.300118066,-1.300118066,1.732576379,0
"128",26,2,0.345275263574125,466,7,-0.572448496,-1.213548964,-1.213548964,1.880324157,0
"129",26,3,0.411427021113343,194,219,-0.038570075,-1.300118066,-1.300118066,1.689075155,0
"130",26,4,0.454667405725738,482,561,-0.038570075,-1.213548964,-1.213548964,1.754104697,0
"131",26,5,0.522274865130294,433,200,-0.572448496,-1.581034348,-1.581034348,1.941643219,1
"132",27,1,0.121686560097796,120,705,-1.109636079,0.643738116,0.643738116,-0.951183901,1
"133",27,2,0.121686560097796,441,165,-1.109636079,0.643738116,0.643738116,-0.951183901,1
"134",27,3,0.121686560097796,121,651,-1.109636079,0.643738116,0.643738116,-0.951183901,0
"135",27,4,0.121686560097796,119,51,-1.109636079,0.643738116,0.643738116,-0.951183901,0
"136",27,5,0.121686560097796,113,687,-1.109636079,0.643738116,0.643738116,-0.951183901,0
"137",28,1,0.12965410315836,536,627,0.776698353,1.49423964,1.49423964,-0.741697737,0
"138",28,2,0.12965410315836,291,18,0.776698353,1.49423964,1.49423964,-0.741697737,0
"139",28,3,0.12965410315836,293,122,0.776698353,1.49423964,1.49423964,-0.741697737,0
"140",28,4,0.12965410315836,533,368,0.776698353,1.49423964,1.49423964,-0.741697737,0
"141",28,5,0.12965410315836,534,697,0.776698353,1.49423964,1.49423964,-0.741697737,0
"142",29,1,0.086262055114026,115,151,-0.572448496,0.172880205,0.172880205,-0.616712577,0
"143",29,2,0.086262055114026,116,213,-0.572448496,0.172880205,0.172880205,-0.616712577,0
"144",29,3,0.457768191179325,98,667,-1.109636079,0.172880205,0.172880205,-0.616712577,1
"145",29,4,0.458169675071568,178,746,-0.572448496,0.172880205,0.172880205,-0.193586817,0
"146",29,5,0.467170544097765,425,531,-1.109636079,0.172880205,0.172880205,-0.741697737,0
"147",30,1,0.171226866312047,45,721,-1.109636079,-1.213548964,-1.213548964,0.646449775,1
"148",30,2,0.171226866312047,44,712,-1.109636079,-1.213548964,-1.213548964,0.646449775,0
"149",30,3,0.223410053163624,31,298,-1.109636079,-1.300118066,-1.300118066,0.6781243,1
"150",30,4,0.308561743183379,402,641,-1.109636079,-1.213548964,-1.213548964,0.481527201,1
"151",30,5,0.320427799020062,34,446,-1.109636079,-1.379091478,-1.379091478,0.860175521,1
"152",31,1,0.158339252292827,149,586,-0.572448496,-1.300118066,-1.300118066,1.732576379,0
"153",31,2,0.328494525588036,466,7,-0.572448496,-1.213548964,-1.213548964,1.880324157,0
"154",31,3,0.443087269869726,54,507,-0.810535068,-1.581034348,-1.581034348,1.414353547,0
"155",31,4,0.457484545844637,92,279,-1.109636079,-1.300118066,-1.300118066,1.600215287,0
"156",31,5,0.485033209477081,97,212,-1.109636079,-1.213548964,-1.213548964,1.531849046,1
"157",32,1,0.227951527840519,379,547,1.348487,-0.589133831,-0.589133831,1.689075155,0
"158",32,2,0.34833204023804,370,514,1.487729835,-0.589133831,-0.589133831,1.31687973,0
"159",32,3,0.468992578121153,556,738,1.487729835,-0.890212447,-0.890212447,1.291991927,0
"160",32,4,0.571001475467694,339,522,1.121961092,-0.890212447,-0.890212447,1.880324157,0
"161",32,5,0.596700653269101,334,505,0.956547268,-0.751539609,-0.751539609,1.710900771,1
"162",33,1,0.171513919956386,133,293,-1.109636079,1.49423964,1.49423964,-1.973771313,1
"163",33,2,0.171513919956386,132,247,-1.109636079,1.49423964,1.49423964,-1.973771313,1
"164",33,3,0.171513919956386,137,220,-1.109636079,1.49423964,1.49423964,-1.973771313,0
"165",33,4,0.171513919956386,124,477,-1.109636079,1.49423964,1.49423964,-1.973771313,0
"166",33,5,0.171513919956386,134,587,-1.109636079,1.49423964,1.49423964,-1.973771313,0
"167",34,1,0.156064382087961,161,242,-0.572448496,-0.751539609,-0.751539609,1.002640843,0
"168",34,2,0.171115285709456,154,296,-0.572448496,-0.751539609,-0.751539609,0.830725571,0
"169",34,3,0.171115285709456,153,605,-0.572448496,-0.751539609,-0.751539609,0.830725571,0
"170",34,4,0.173686478195535,160,596,-0.572448496,-0.589133831,-0.589133831,0.830725571,0
"171",34,5,0.227513937700552,475,136,-0.572448496,-0.751539609,-0.751539609,1.111388605,0
"172",35,1,0.239299423207669,527,130,-0.572448496,0.643738116,0.643738116,0.646449775,0
"173",35,2,0.325176491857258,505,442,-0.572448496,0.643738116,0.643738116,0.111065852,0
"174",35,3,0.364608104848816,502,393,-0.572448496,0.643738116,0.643738116,0.070270318,0
"175",35,4,0.387104998355225,286,318,-0.572448496,0.643738116,0.643738116,0.800933818,1
"176",35,5,0.405114925457008,246,261,-0.572448496,0.643738116,0.643738116,0.028650459,0
"177",36,1,0.117644592481709,477,123,0.471473252,-0.589133831,-0.589133831,-0.013839696,0
"178",36,2,0.124452879813531,166,553,0.471473252,-0.589133831,-0.589133831,-0.057250437,0
"179",36,3,0.349194891979967,183,31,0.776698353,-0.751539609,-0.751539609,-0.101636954,0
"180",36,4,0.374913539816915,203,269,0.471473252,-0.751539609,-0.751539609,0.340670342,0
"181",36,5,0.390394822609023,150,59,0.68028211,-0.890212447,-0.890212447,-0.101636954,0
"182",37,1,0.262806318051569,496,342,-1.109636079,0.643738116,0.643738116,0.190349155,0
"183",37,2,0.658983817342655,201,115,-1.109636079,0.172880205,0.172880205,0.266799003,0
"184",37,3,0.689690443544431,527,130,-0.572448496,0.643738116,0.643738116,0.646449775,0
"185",37,4,0.723980969933316,505,442,-0.572448496,0.643738116,0.643738116,0.111065852,0
"186",37,5,0.724339595066146,484,486,-1.109636079,0.643738116,0.643738116,-0.290258347,0
"187",38,1,0.12965410315836,536,627,0.776698353,1.49423964,1.49423964,-0.741697737,0
"188",38,2,0.12965410315836,291,18,0.776698353,1.49423964,1.49423964,-0.741697737,0
"189",38,3,0.12965410315836,293,122,0.776698353,1.49423964,1.49423964,-0.741697737,0
"190",38,4,0.12965410315836,533,368,0.776698353,1.49423964,1.49423964,-0.741697737,0
"191",38,5,0.12965410315836,534,697,0.776698353,1.49423964,1.49423964,-0.741697737,0
"192",39,1,0.178973255455329,429,86,-0.572448496,-0.589133831,-0.589133831,0.070270318,0
"193",39,2,0.202603688312041,99,308,-0.572448496,-0.393788889,-0.393788889,-0.101636954,1
"194",39,3,0.202672815817715,107,747,-0.572448496,-0.393788889,-0.393788889,-0.013839696,0
"195",39,4,0.26975639661719,90,653,-0.572448496,-0.393788889,-0.393788889,-0.241291892,0
"196",39,5,0.300530599687765,428,661,-0.371410514,-0.589133831,-0.589133831,-0.013839696,0
"197",40,1,0.150554890989817,468,637,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"198",40,2,0.150554890989817,179,217,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"199",40,3,0.150554890989817,175,252,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"200",40,4,0.150554890989817,469,417,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"201",40,5,0.150554890989817,168,239,-0.572448496,1.49423964,1.49423964,-1.639570526,0
"202",41,1,0.120252354097252,62,45,-1.109636079,0.643738116,0.643738116,-1.639570526,0
"203",41,2,0.120252354097252,64,369,-1.109636079,0.643738116,0.643738116,-1.639570526,1
"204",41,3,0.120252354097252,416,542,-1.109636079,0.643738116,0.643738116,-1.639570526,1
"205",41,4,0.120252354097252,66,66,-1.109636079,0.643738116,0.643738116,-1.639570526,0
"206",41,5,0.120252354097252,67,448,-1.109636079,0.643738116,0.643738116,-1.639570526,0
"207",42,1,0.109908273265749,259,20,0.956547268,-0.589133831,-0.589133831,0.266799003,1
"208",42,2,0.210324255266732,509,559,0.86862378,-0.393788889,-0.393788889,0.190349155,0
"209",42,3,0.219048265450303,238,575,0.776698353,-0.589133831,-0.589133831,0.228911412,0
"210",42,4,0.294548986670802,285,608,0.956547268,-0.393788889,-0.393788889,0.447115082,1
"211",42,5,0.327307368741916,500,557,0.956547268,-0.393788889,-0.393788889,-0.057250437,0
"212",43,1,0.234699784503647,553,715,0.956547268,-0.393788889,-0.393788889,1.341555111,0
"213",43,2,0.27766914107403,329,516,0.776698353,-0.393788889,-0.393788889,1.414353547,0
"214",43,3,0.3929955224018,298,704,0.776698353,-0.751539609,-0.751539609,1.390287505,0
"215",43,4,0.39330132340043,334,505,0.956547268,-0.751539609,-0.751539609,1.710900771,1
"216",43,5,0.399863451985533,295,428,0.776698353,-0.751539609,-0.751539609,1.366022838,0
"217",44,1,0.143014752213579,84,94,-1.109636079,-0.393788889,-0.393788889,-0.101636954,0
"218",44,2,0.296631669822508,102,662,-1.109636079,-0.149807866,-0.149807866,-0.101636954,0
"219",44,3,0.30960179618701,426,99,-1.109636079,-0.149807866,-0.149807866,-0.241291892,0
"220",44,4,0.360620099261266,101,172,-1.109636079,-0.393788889,-0.393788889,0.190349155,1
"221",44,5,0.371509626795586,414,489,-1.109636079,-0.589133831,-0.589133831,-0.101636954,1
"222",45,1,0.127619219029323,532,611,0.776698353,0.172880205,0.172880205,0.190349155,0
"223",45,2,0.165938641808426,274,723,0.776698353,0.172880205,0.172880205,-0.101636954,0
"224",45,3,0.165938641808426,523,125,0.776698353,0.172880205,0.172880205,-0.101636954,0
"225",45,4,0.203735746616038,538,95,0.776698353,0.172880205,0.172880205,0.266799003,0
"226",45,5,0.240772925424905,311,743,0.956547268,0.172880205,0.172880205,0.228911412,0
"227",46,1,0.171513919956386,133,293,-1.109636079,1.49423964,1.49423964,-1.973771313,1
"228",46,2,0.171513919956386,132,247,-1.109636079,1.49423964,1.49423964,-1.973771313,1
"229",46,3,0.171513919956386,137,220,-1.109636079,1.49423964,1.49423964,-1.973771313,0
"230",46,4,0.171513919956386,124,477,-1.109636079,1.49423964,1.49423964,-1.973771313,0
"231",46,5,0.171513919956386,134,587,-1.109636079,1.49423964,1.49423964,-1.973771313,0
"232",47,1,0.176419599380846,423,398,-0.572448496,-0.149807866,-0.149807866,-0.616712577,0
"233",47,2,0.281383316648262,427,319,-0.572448496,-0.149807866,-0.149807866,-0.500788071,0
"234",47,3,0.402481247826272,47,332,-0.572448496,-0.393788889,-0.393788889,-0.741697737,1
"235",47,4,0.428590146896461,53,132,-0.572448496,-0.393788889,-0.393788889,-0.616712577,1
"236",47,5,0.428590146896461,412,470,-0.572448496,-0.393788889,-0.393788889,-0.616712577,1
"237",48,1,0.0289838195859762,532,611,0.776698353,0.172880205,0.172880205,0.190349155,0
"238",48,2,0.0538155605748323,538,95,0.776698353,0.172880205,0.172880205,0.266799003,0
"239",48,3,0.175613247509899,311,743,0.956547268,0.172880205,0.172880205,0.228911412,0
"240",48,4,0.182537661382706,541,109,0.956547268,0.172880205,0.172880205,0.266799003,0
"241",48,5,0.266824252016618,313,354,0.776698353,0.172880205,0.172880205,0.481527201,0
"242",49,1,0.12965410315836,536,627,0.776698353,1.49423964,1.49423964,-0.741697737,0
"243",49,2,0.12965410315836,291,18,0.776698353,1.49423964,1.49423964,-0.741697737,0
"244",49,3,0.12965410315836,293,122,0.776698353,1.49423964,1.49423964,-0.741697737,0
"245",49,4,0.12965410315836,533,368,0.776698353,1.49423964,1.49423964,-0.741697737,0
"246",49,5,0.12965410315836,534,697,0.776698353,1.49423964,1.49423964,-0.741697737,0
"247",50,1,0.0866870194492147,225,44,0.776698353,-0.393788889,-0.393788889,-0.101636954,0
"248",50,2,0.0868484605207675,234,133,0.776698353,-0.393788889,-0.393788889,-0.013839696,0
"249",50,3,0.189804727472005,500,557,0.956547268,-0.393788889,-0.393788889,-0.057250437,0
"250",50,4,0.273305959739234,509,559,0.86862378,-0.393788889,-0.393788889,0.190349155,0
"251",50,5,0.27395577659901,501,46,0.776698353,-0.149807866,-0.149807866,-0.101636954,0
"252",51,1,0.149351494538704,34,446,-1.109636079,-1.379091478,-1.379091478,0.860175521,1
"253",51,2,0.254579447074177,31,298,-1.109636079,-1.300118066,-1.300118066,0.6781243,1
"254",51,3,0.293640071518894,15,40,-1.109636079,-1.451648015,-1.451648015,0.709397,1
"255",51,4,0.318743757882966,45,721,-1.109636079,-1.213548964,-1.213548964,0.646449775,1
"256",51,5,0.318743757882966,44,712,-1.109636079,-1.213548964,-1.213548964,0.646449775,0
"257",52,1,0.203618913211423,38,665,-0.572448496,-1.793432165,-1.793432165,1.291991927,1
"258",52,2,0.214176496403565,48,740,-0.572448496,-1.745027626,-1.745027626,1.291991927,1
"259",52,3,0.274514412460459,61,652,-0.572448496,-1.639209223,-1.639209223,1.341555111,1
"260",52,4,0.35011151810549,85,719,-0.195691896,-1.639209223,-1.639209223,1.31687973,0
"261",52,5,0.47747352097685,54,507,-0.810535068,-1.581034348,-1.581034348,1.414353547,0
"262",53,1,0.0500960210614062,224,647,0.776698353,-0.149807866,-0.149807866,-0.290258347,1
"263",53,2,0.128386760537327,213,702,0.68028211,-0.149807866,-0.149807866,-0.340579242,0
"264",53,3,0.184141578316143,501,46,0.776698353,-0.149807866,-0.149807866,-0.101636954,0
"265",53,4,0.184141578316143,248,153,0.776698353,-0.149807866,-0.149807866,-0.101636954,0
"266",53,5,0.269799792106085,256,260,0.776698353,-0.149807866,-0.149807866,-0.013839696,1
"267",54,1,0.126530852591588,442,383,-0.572448496,-0.589133831,-0.589133831,0.376708903,1
"268",54,2,0.153826355782555,437,147,-0.572448496,-0.589133831,-0.589133831,0.266799003,1
"269",54,3,0.153826355782555,435,729,-0.572448496,-0.589133831,-0.589133831,0.266799003,0
"270",54,4,0.176690444789446,144,399,-0.572448496,-0.589133831,-0.589133831,0.481527201,1
"271",54,5,0.217240314076815,152,367,-0.572448496,-0.393788889,-0.393788889,0.266799003,1
"272",55,1,0.20099646596069,368,292,1.348487,0.643738116,0.643738116,0.266799003,0
"273",55,2,0.233864890031362,565,674,1.348487,0.643738116,0.643738116,0.190349155,0
"274",55,3,0.341613704864401,347,210,1.487729835,0.643738116,0.643738116,-0.013839696,0
"275",55,4,0.42824006345329,344,78,1.487729835,0.643738116,0.643738116,-0.101636954,0
"276",55,5,0.42824006345329,345,538,1.487729835,0.643738116,0.643738116,-0.101636954,0
"277",56,1,0.139533094975017,222,36,0.471473252,-0.890212447,-0.890212447,0.709397,0
"278",56,2,0.173997390179397,211,707,0.471473252,-0.890212447,-0.890212447,0.646449775,0
"279",56,3,0.310107725473848,198,400,0.471473252,-0.890212447,-0.890212447,0.481527201,1
"280",56,4,0.33757743489645,258,32,0.776698353,-0.751539609,-0.751539609,0.6781243,0
"281",56,5,0.343972472440377,252,324,0.776698353,-0.890212447,-0.890212447,0.770789474,1
"282",57,1,0.16789468036578,197,519,-1.109636079,-0.589133831,-0.589133831,1.438225239,0
"283",57,2,0.172167545709432,165,434,-1.109636079,-0.751539609,-0.751539609,1.461906713,0
"284",57,3,0.429322623855694,122,556,-1.109636079,-0.751539609,-0.751539609,1.002640843,1
"285",57,4,0.48647157701947,481,218,-1.109636079,-0.393788889,-0.393788889,1.137913293,0
"286",57,5,0.493539909116019,114,29,-1.109636079,-1.01100296,-1.01100296,1.414353547,0
"287",58,1,0.19712555450535,397,226,-0.810535068,-0.393788889,-0.393788889,-0.877920581,1
"288",58,2,0.25315035641573,47,332,-0.572448496,-0.393788889,-0.393788889,-0.741697737,1
"289",58,3,0.369767627034946,53,132,-0.572448496,-0.393788889,-0.393788889,-0.616712577,1
"290",58,4,0.369767627034946,412,470,-0.572448496,-0.393788889,-0.393788889,-0.616712577,1
"291",58,5,0.369767627034946,408,366,-0.572448496,-0.393788889,-0.393788889,-0.616712577,1
"292",59,1,0.134802225094159,148,618,-1.109636079,-0.149807866,-0.149807866,0.266799003,0
"293",59,2,0.340354306449526,102,662,-1.109636079,-0.149807866,-0.149807866,-0.101636954,0
"294",59,3,0.356211016191361,186,195,-1.109636079,-0.149807866,-0.149807866,0.548870389,0
