,Months since Last Donation,Number of Donations,Months since First Donation,Made Donation in March 2007
18,0.189189189,0,0.125,0
225,0.189189189,0,0.125,0
122,0.189189189,0,0.125,0
708,0.189189189,0,0.125,0
428,0.189189189,0.12244898,0.729166667,0
166,0.189189189,0,0.125,0
234,0.121621622,0.040816327,0.520833333,0
704,0.189189189,0.12244898,0.739583333,0
716,0.148648649,0.06122449,0.583333333,0
599,0.148648649,0.06122449,0.59375,0
206,0.054054054,0.020408163,0.59375,0
713,0.148648649,0.06122449,0.614583333,0
167,0.216216216,0.06122449,0.395833333,0
315,0.216216216,0.183673469,0.90625,0
601,0.283783784,0.020408163,0.197916667,1
277,0.283783784,0.040816327,0.25,0
724,0.216216216,0.142857143,0.770833333,0
648,0.283783784,0.040816327,0.25,1
37,0.243243243,0.020408163,0.21875,0
193,0.310810811,0.081632653,0.322916667,0
743,0.216216216,0.040816327,0.333333333,0
126,0.189189189,0.081632653,0.645833333,0
354,0.189189189,0.040816327,0.40625,0
438,0.216216216,0,0.145833333,0
184,0.216216216,0,0.145833333,0
236,0.216216216,0,0.145833333,0
15,0.216216216,0,0.145833333,0
163,0.216216216,0,0.145833333,0
347,0.216216216,0,0.145833333,0
412,0.216216216,0.06122449,0.447916667,0
87,0.216216216,0,0.145833333,0
614,0.216216216,0,0.145833333,0
364,0.216216216,0,0.145833333,0
468,0.283783784,0.020408163,0.21875,0
558,0.283783784,0.020408163,0.21875,0
177,0.189189189,0.06122449,0.572916667,0
593,0.216216216,0.081632653,0.604166667,0
378,0.310810811,0.020408163,0.21875,0
516,0.189189189,0.081632653,0.75,0
265,0.310810811,0.040816327,0.270833333,0
543,0.216216216,0.040816327,0.395833333,0
52,0.121621622,0.020408163,0.520833333,0
266,0.121621622,0.020408163,0.520833333,0
505,0.216216216,0.12244898,0.885416667,1
343,0.189189189,0.020408163,0.34375,0
628,0.216216216,0.12244898,0.947916667,0
327,0.283783784,0.020408163,0.239583333,0
481,0.189189189,0.040816327,0.520833333,0
522,0.243243243,0.142857143,0.96875,0
435,0.216216216,0.040816327,0.458333333,0
381,0.148648649,0.040816327,0.770833333,0
420,0.310810811,0.224489796,0.875,0
42,0.283783784,0.040816327,0.34375,0
78,0.310810811,0.020408163,0.25,0
538,0.310810811,0.020408163,0.25,0
180,0.310810811,0.040816327,0.322916667,0
210,0.310810811,0.020408163,0.270833333,0
27,0.283783784,0,0.197916667,0
251,0.283783784,0,0.197916667,0
208,0.283783784,0,0.197916667,0
660,0.283783784,0,0.197916667,0
518,0.283783784,0,0.197916667,0
602,0.283783784,0,0.197916667,0
339,0.283783784,0,0.197916667,0
431,0.283783784,0,0.197916667,0
525,0.283783784,0,0.197916667,1
116,0.283783784,0,0.197916667,0
302,0.283783784,0,0.197916667,0
69,0.283783784,0.081632653,0.604166667,0
595,0.310810811,0.06122449,0.447916667,0
333,0.283783784,0.06122449,0.520833333,0
370,0.297297297,0,0.208333333,1
742,0.148648649,0.020408163,0.708333333,0
645,0.310810811,0.081632653,0.583333333,0
604,0.310810811,0.040816327,0.395833333,0
739,0.310810811,0.040816327,0.40625,0
112,0.189189189,0.040816327,0.84375,0
292,0.283783784,0.020408163,0.34375,0
281,0.351351351,0.081632653,0.489583333,1
514,0.310810811,0.102040816,0.708333333,0
117,0.310810811,0,0.21875,0
388,0.310810811,0,0.21875,0
554,0.310810811,0,0.21875,0
110,0.310810811,0,0.21875,0
588,0.310810811,0,0.21875,0
576,0.310810811,0,0.21875,0
141,0.310810811,0,0.21875,0
475,0.310810811,0.06122449,0.53125,0
547,0.283783784,0.102040816,0.875,0
305,0.283783784,0.040816327,0.645833333,0
560,0.216216216,0.020408163,0.708333333,0
287,0.283783784,0.040816327,0.708333333,0
295,0.310810811,0.06122449,0.885416667,0
597,0.310810811,0.040816327,0.90625,0
673,0.472972973,0.040816327,0.645833333,0
350,1,0,0.75,0
39,0.027027027,0.857142857,0.875,1
677,0.081081081,0.428571429,0.270833333,1
149,0.027027027,0.87755102,1,0
732,0.027027027,0.204081633,0.21875,0
348,0.027027027,0.408163265,0.520833333,1
190,0.054054054,0.06122449,0.020833333,1
374,0.027027027,0.204081633,0.25,0
104,0.027027027,0.204081633,0.270833333,0
407,0.040540541,0.265306122,0.34375,0
408,0.054054054,0.102040816,0.125,0
226,0.040540541,0.081632653,0.104166667,1
157,0.054054054,0.653061224,1,1
495,0.040540541,0.183673469,0.322916667,1
280,0.054054054,0.183673469,0.270833333,1
107,0.027027027,0.204081633,0.395833333,1
641,0.027027027,0.204081633,0.40625,1
250,0.054054054,0.244897959,0.385416667,1
258,0.013513514,0.183673469,0.427083333,1
699,0.054054054,0.163265306,0.270833333,0
322,0.027027027,0.081632653,0.145833333,1
376,0.027027027,0.102040816,0.208333333,1
366,0.054054054,0.081632653,0.145833333,1
0,0.027027027,0.06122449,0.125,1
124,0.027027027,0.06122449,0.125,0
259,0.027027027,0.102040816,0.25,0
470,0.054054054,0.081632653,0.145833333,1
140,0.027027027,0.12244898,0.3125,1
489,0.027027027,0.102040816,0.25,1
170,0.027027027,0.142857143,0.375,1
542,0.027027027,0.020408163,0.020833333,1
355,0.027027027,0.102040816,0.270833333,1
24,0.054054054,0.020408163,0.020833333,1
106,0.013513514,0.265306122,0.96875,0
255,0.027027027,0.040816327,0.09375,0
737,0.027027027,0.224489796,0.708333333,1
329,0.054054054,0.12244898,0.3125,1
398,0.054054054,0.06122449,0.145833333,0
521,0.027027027,0.102040816,0.34375,1
531,0.027027027,0.040816327,0.125,0
99,0.027027027,0.06122449,0.21875,0
319,0.054054054,0.06122449,0.166666667,0
661,0.067567568,0.102040816,0.270833333,0
86,0.054054054,0.102040816,0.291666667,0
313,0.189189189,0.081632653,0.125,0
288,0.040540541,0.142857143,0.5,0
229,0.054054054,0.163265306,0.520833333,0
200,0.054054054,0.306122449,1,1
53,0.027027027,0.163265306,0.760416667,0
729,0.054054054,0.102040816,0.34375,0
331,0.054054054,0.163265306,0.552083333,0
147,0.054054054,0.102040816,0.34375,1
203,0.027027027,0.102040816,0.447916667,0
41,0.027027027,0.102040816,0.46875,0
89,0.054054054,0.020408163,0.072916667,0
165,0.027027027,0.020408163,0.09375,1
383,0.054054054,0.102040816,0.375,1
351,0.121621622,0.163265306,0.375,0
108,0.148648649,0.081632653,0.166666667,0
397,0.027027027,0.040816327,0.197916667,0
640,0.027027027,0,0,0
720,0.027027027,0,0,1
409,0.027027027,0,0,0
68,0.027027027,0,0,0
211,0.027027027,0,0,0
635,0.027027027,0,0,0
484,0.027027027,0,0,0
237,0.027027027,0,0,0
57,0.027027027,0,0,0
50,0.027027027,0.040816327,0.208333333,0
600,0.121621622,0.204081633,0.489583333,1
310,0.040540541,0.081632653,0.375,0
583,0.040540541,0,0.010416667,1
681,0.054054054,0.102040816,0.427083333,0
503,0.027027027,0.040816327,0.229166667,0
270,0.162162162,0.204081633,0.385416667,0
375,0.027027027,0.020408163,0.125,0
230,0.121621622,0.040816327,0.125,0
497,0.189189189,0.142857143,0.25,0
188,0.054054054,0.020408163,0.114583333,0
7,0.054054054,0.204081633,0.96875,0
80,0.054054054,0,0.020833333,0
637,0.054054054,0,0.020833333,0
417,0.054054054,0,0.020833333,0
97,0.054054054,0,0.020833333,0
158,0.054054054,0,0.020833333,0
695,0.054054054,0,0.020833333,0
425,0.054054054,0,0.020833333,0
75,0.054054054,0,0.020833333,0
136,0.054054054,0.12244898,0.625,0
603,0.054054054,0.06122449,0.333333333,1
123,0.148648649,0.102040816,0.270833333,0
422,0.175675676,0.040816327,0.125,1
273,0.121621622,0.163265306,0.541666667,0
404,0.148648649,0.020408163,0.09375,0
218,0.027027027,0.081632653,0.635416667,0
561,0.094594595,0.204081633,0.90625,0
55,0.108108108,0.163265306,0.645833333,0
486,0.027027027,0.020408163,0.208333333,0
443,0.148648649,0.306122449,0.90625,0
730,0.054054054,0.081632653,0.583333333,0
437,0.189189189,0.12244898,0.34375,0
526,0.148648649,0.06122449,0.260416667,0
371,0.094594595,0.163265306,0.90625,1
710,0.094594595,0.081632653,0.520833333,0
243,0.148648649,0.102040816,0.40625,0
91,0.135135135,0.081632653,0.375,0
672,0.189189189,0.020408163,0.125,1
666,0.189189189,0.020408163,0.125,0
10,0.189189189,0.020408163,0.125,0
342,0.027027027,0.020408163,0.322916667,0
682,0.148648649,0.040816327,0.21875,0
629,0.189189189,0.142857143,0.458333333,0
223,0.121621622,0,0.072916667,0
557,0.216216216,0.081632653,0.260416667,0
46,0.189189189,0.06122449,0.25,0
393,0.054054054,0.020408163,0.291666667,0
504,0.189189189,0.040816327,0.197916667,0
209,0.216216216,0.306122449,0.78125,0
442,0.054054054,0.020408163,0.302083333,0
312,0.189189189,0.142857143,0.5,0
148,0.148648649,0.040816327,0.25,0
636,0.189189189,0.12244898,0.447916667,0
559,0.202702703,0.081632653,0.322916667,0
13,0.216216216,0.020408163,0.145833333,0
320,0.216216216,0.040816327,0.197916667,0
411,0.148648649,0.142857143,0.729166667,0
625,0.148648649,0,0.09375,0
592,0.148648649,0,0.09375,0
552,0.148648649,0,0.09375,1
675,0.027027027,0.040816327,0.760416667,1
700,0.027027027,0.040816327,0.78125,0
363,0.216216216,0.06122449,0.270833333,0
100,0.216216216,0.285714286,0.885416667,0
642,0.216216216,0.265306122,0.84375,0
524,0.216216216,0.183673469,0.625,0
639,0.216216216,0.040816327,0.21875,0
125,0.189189189,0.040816327,0.25,0
22,0.310810811,0.367346939,0.625,0
430,0.148648649,0.12244898,0.760416667,0
418,0.27027027,0.265306122,0.697916667,1
130,0.054054054,0.020408163,0.458333333,0
267,0.148648649,0.020408163,0.239583333,0
492,0.148648649,0.040816327,0.364583333,0
179,0.175675676,0.12244898,0.770833333,0
566,0.216216216,0.102040816,0.5,0
611,0.189189189,0.040816327,0.322916667,0
368,0.189189189,0,0.125,0
697,0.189189189,0,0.125,0
439,0.189189189,0,0.125,0
627,0.189189189,0,0.125,0
462,0.22972973,0.12244898,0.583333333,1
95,0.189189189,0.040816327,0.34375,0
621,0.216216216,0.12244898,0.645833333,0
396,0.283783784,0.020408163,0.197916667,0
109,0.216216216,0.040816327,0.34375,0
197,0.216216216,0,0.145833333,0
416,0.216216216,0,0.145833333,0
202,0.216216216,0,0.145833333,0
198,0.216216216,0,0.145833333,0
178,0.216216216,0,0.145833333,0
577,0.148648649,0.06122449,0.75,0
118,0.283783784,0.102040816,0.479166667,0
532,0.310810811,0.020408163,0.21875,0
338,0.310810811,0.102040816,0.447916667,0
365,0.189189189,0.020408163,0.34375,1
173,0.216216216,0.06122449,0.583333333,0
715,0.216216216,0.081632653,0.71875,0
2,0.283783784,0.020408163,0.25,0
387,0.283783784,0.040816327,0.34375,0
738,0.310810811,0.142857143,0.697916667,0
610,0.283783784,0.040816327,0.375,0
450,0.283783784,0.040816327,0.395833333,0
232,0.283783784,0,0.197916667,0
440,0.283783784,0,0.197916667,0
183,0.337837838,0.102040816,0.5,0
60,0.283783784,0,0.197916667,0
58,0.283783784,0,0.197916667,0
49,0.310810811,0.040816327,0.385416667,0
674,0.283783784,0.020408163,0.322916667,0
204,0.189189189,0.040816327,0.802083333,0
361,0.310810811,0,0.21875,1
30,0.310810811,0,0.21875,0
337,0.310810811,0,0.21875,0
496,0.310810811,0,0.21875,0
169,0.310810811,0,0.21875,0
698,0.310810811,0,0.21875,0
433,0.216216216,0.040816327,0.875,0
360,0.283783784,0.020408163,0.520833333,0
541,0.527027027,0,0.385416667,0
74,0.972972973,0,0.729166667,0
