,Months since Last Donation,Number of Donations,Months since First Donation
613,0.275,0.025,0.520833333
545,0.1,0,0.020833333
685,0.35,0,0.125
570,0.275,0.1,0.322916667
537,0.1,0.2,0.25
691,0.4,0,0.145833333
85,0.1,0.375,0.708333333
483,0.35,0.025,0.125
455,0.35,0.05,0.270833333
93,0.275,0,0.09375
744,0.05,0,0
33,0.35,0.025,0.125
321,0.1,0.55,0.583333333
523,0.15,0.05,0.25
426,0.4,0.025,0.145833333
196,0.35,0.025,0.28125
301,0.275,0.15,0.645833333
103,0.4,0,0.145833333
224,0.525,0.025,0.21875
454,0.575,0.175,0.458333333
585,0.575,0.025,0.270833333
154,0.1,0.25,0.645833333
